school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2017-18,3619_0501,Craig Montessori School,Traditional Public,391
2017-18,3619_0122,Curtin Elementary,Traditional Public,318
2017-18,3619_0850,Daniel Webster Secondary School,Traditional Public,87
2017-18,3619_0820,Daniels University Preparatory Academy,Non-Instrumentality Charter,210
2017-18,3619_0125,Doerfler Elementary,Traditional Public,629
2017-18,3619_0143,Eighty-First Street Elementary,Traditional Public,322
2017-18,3619_0148,Elm Creative Arts Elementary,Traditional Public,394
2017-18,3619_0150,Emerson Elementary,Traditional Public,260
2017-18,3619_0152,Engleburg Elementary,Traditional Public,276
2017-18,3619_0155,Fairview Elementary,Traditional Public,641
2017-18,3619_0158,Fernwood Montessori,Traditional Public,782
2017-18,3619_0170,Fifty-Third Street Elementary,Traditional Public,400
2017-18,3619_0173,Forest Home Elementary,Traditional Public,680
2017-18,3619_0179,Franklin Elementary,Traditional Public,328
2017-18,3619_0182,Fratney Elementary,Traditional Public,434
2017-18,3619_0185,Gaenslen Elementary,Traditional Public,765
2017-18,3619_0191,Garland Elementary,Traditional Public,569
2017-18,3619_0192,Goodrich Elementary,Traditional Public,334
2017-18,3619_0410,Grandview High,Partnership,239
2017-18,3619_0193,Grant Elementary,Traditional Public,670
2017-18,3619_0196,Grantosa Drive Elementary,Traditional Public,629
2017-18,3619_0120,Green Bay Avenue School,Traditional Public,251
2017-18,3619_0202,Greenfield Bilingual,Traditional Public,694
2017-18,3619_0236,Groppi High,Traditional Public,140
2017-18,3619_0018,Hamilton High,Traditional Public,1561
2017-18,3619_0205,Hampton Elementary,Traditional Public,227
2017-18,3619_0880,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,1594
2017-18,3619_0208,Hartford Avenue Elementary,Traditional Public,604
2017-18,3619_0211,Hawley Environmental School,Traditional Public,359
2017-18,3619_0212,Hawthorne Elementary,Traditional Public,316
2017-18,3619_0214,Hayes Bilingual School,Traditional Public,609
2017-18,3619_0217,Hi-Mount Elementary,Traditional Public,242
2017-18,3619_0852,Highland Community School,Non-Instrumentality Charter,409
2017-18,3619_0218,Holmes Elementary,Traditional Public,310
2017-18,3619_0334,Honey Creek Elementary,Instrumentality Charter,403
2017-18,3619_0253,Hopkins Lloyd Community School,Traditional Public,274
2017-18,3619_0223,Humboldt Park Elementary,Traditional Public,587
2017-18,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,323
2017-18,3619_0377,Jackson Elementary,Traditional Public,292
2017-18,3619_0409,James Madison Academic Campus,Traditional Public,779
2017-18,3619_0232,Kagel Elementary,Traditional Public,273
2017-18,3619_0235,Keefe Avenue Elementary,Traditional Public,247
2017-18,3619_0237,Kilbourn Elementary,Traditional Public,296
2017-18,3619_0020,King International,Traditional Public,1520
